DATE,TMAX,TMIN,PRCP,SNOW,SNWD,QC_FLAG
2001-01-01,55,50,0.0,,,M
2001-01-02,67,54,0.07,,,M
2001-01-03,98,82,0.26,,,X
2001-01-04,73,51,0.01,,,M
2001-01-05,99,70,0.2,,,X
2001-01-06,100,71,0.11,,,E
2001-01-07,32,19,0.01,,,M
2001-01-08,95,70,0.36,,,E
2001-01-09,33,16,0.08,0.0,4,X
2001-01-10,63,42,0.02,,,X
2001-01-11,55,29,0.14,,,M
2001-01-12,79,60,0.08,,,E
2001-01-13,83,55,0.15,0.03,,M
2001-01-14,57,28,0.24,,,M
2001-01-15,52,24,0.04,,,X
2001-01-16,31,9,0.09,,,E
2001-01-17,80,67,0.03,0.03,,M
2001-01-18,54,35,0.21,,,X
2001-01-19,82,69,0.0,,,X
2001-01-20,39,18,0.28,,,E
2001-01-21,75,67,0.18,,,M
2001-01-22,94,80,0.0,,,E
2001-01-23,104,85,0.09,0.02,,E
2001-01-24,75,57,,,,X
2001-01-25,83,62,0.03,,,E
2001-01-26,58,41,0.12,,,E
2001-01-27,55,46,0.06,,0,M
2001-01-28,96,91,0.12,,,M
2001-01-29,48,33,0.32,0.0,,E
2001-01-30,83,72,0.46,,,M
2001-01-31,75,46,0.15,,,E
2001-02-01,54,40,0.07,,,M
2001-02-02,54,37,0.16,,,E
2001-02-03,61,52,0.1,,,X
2001-02-04,90,77,0.08,0.04,,M
2001-02-05,61,44,,,,E
2001-02-06,71,55,,,,M
2001-02-07,68,54,0.02,,,M
2001-02-08,99,87,0.3,,,E
2001-02-09,88,79,0.02,,,X
2001-02-10,35,30,0.0,,,E
2001-02-11,61,48,0.16,,,M
2001-02-12,43,24,0.23,,,X
2001-02-13,88,73,0.25,,,E
2001-02-14,96,67,0.29,,2,X
2001-02-15,74,58,0.03,,,E
2001-02-16,31,24,0.26,,,M
2001-02-17,77,70,0.21,,,
2001-02-18,45,27,0.11,,,E
2001-02-19,89,74,0.06,,,E
2001-02-20,64,55,,,,E
2001-02-21,106,92,0.05,,,M
2001-02-22,33,27,0.04,,,X
2001-02-23,72,58,0.07,,1,
2001-02-24,90,80,0.01,,,X
2001-02-25,73,54,,,,X
2001-02-26,106,80,0.01,,,E
2001-02-27,102,81,0.01,,,E
2001-02-28,104,88,0.09,,,E
2001-03-01,96,70,0.07,,,E
2001-03-02,77,52,,,,X
2001-03-03,47,42,0.11,,,M
2001-03-04,76,61,0.18,,,X
2001-03-05,85,80,0.05,,,M
2001-03-06,33,7,,,,M
2001-03-07,36,15,0.05,,,M
2001-03-08,43,32,,,,X
2001-03-09,85,59,0.06,,,M
2001-03-10,94,76,0.3,0.06,,X
2001-03-11,65,59,0.17,,,E
2001-03-12,43,28,0.06,,,E
2001-03-13,68,57,0.1,,,E
2001-03-14,74,62,0.02,,0,E
2001-03-15,103,75,0.03,,,M
2001-03-16,95,72,0.04,,,M
2001-03-17,70,42,0.07,,,X
2001-03-18,101,93,0.04,0.26,2,M
2001-03-19,41,24,0.01,,,X
2001-03-20,32,4,0.07,,,M
2001-03-21,58,52,,,,E
2001-03-22,60,47,0.03,,,M
2001-03-23,82,65,0.08,,,M
2001-03-24,50,41,0.05,,,X
2001-03-25,62,44,0.07,,,M
2001-03-26,69,50,0.13,,,M
2001-03-27,67,38,0.12,,,X
2001-03-28,71,44,0.03,,,E
2001-03-29,107,99,0.34,,,X
2001-03-30,95,69,,,,E
2001-03-31,30,17,0.15,,,
2001-04-01,63,42,,0.05,,X
2001-04-02,44,33,0.03,,,X
2001-04-03,93,67,0.07,,,M
2001-04-04,105,87,0.06,,,X
2001-04-05,75,56,0.19,,,X
2001-04-06,36,24,0.03,,,E
2001-04-07,107,79,0.12,,,M
2001-04-08,42,16,0.07,,,E
2001-04-09,61,46,0.0,,,X
2001-04-10,85,70,0.08,,,M
2001-04-11,99,80,0.04,,,M
2001-04-12,84,65,0.04,,,M
2001-04-13,64,48,0.17,,,E
2001-04-14,34,14,0.01,,,E
2001-04-15,71,61,0.08,,,E
2001-04-16,105,94,0.02,,,M
2001-04-17,88,71,,,3,X
2001-04-18,102,90,,,,E
2001-04-19,98,77,0.22,,,M
2001-04-20,77,67,0.24,,,E
2001-04-21,86,76,0.02,,,
2001-04-22,81,73,,,1,E
2001-04-23,54,38,0.05,,,X
2001-04-24,98,90,,0.03,,X
2001-04-25,86,76,0.06,,,M
2001-04-26,76,71,0.28,0.09,,X
2001-04-27,42,23,0.09,,,E
2001-04-28,49,38,0.1,,,
2001-04-29,96,78,0.07,,,M
2001-04-30,73,47,0.04,,,X
2001-05-01,41,35,0.02,,,M
2001-05-02,52,41,0.13,,,M
2001-05-03,56,43,0.52,0.01,,M
2001-05-04,74,48,0.07,,,X
2001-05-05,63,57,0.11,0.04,4,M
2001-05-06,36,27,0.23,,,E
2001-05-07,58,44,0.09,,,M
2001-05-08,40,25,0.26,,,X
2001-05-09,40,35,,,,X
2001-05-10,76,53,0.16,,,E
2001-05-11,94,70,0.03,,,E
2001-05-12,31,15,0.02,,,M
2001-05-13,105,94,0.03,,,X
2001-05-14,50,33,0.05,,,X
2001-05-15,85,75,0.2,,0,X
2001-05-16,102,95,0.02,,,X
2001-05-17,47,38,0.09,,,X
2001-05-18,61,47,0.0,,,X
2001-05-19,74,66,,,,M
2001-05-20,87,61,0.05,,,E
2001-05-21,52,42,0.07,,,X
2001-05-22,58,50,0.04,0.09,,X
2001-05-23,100,81,0.01,,,E
2001-05-24,109,94,0.09,,,X
2001-05-25,99,82,0.05,0.0,,X
2001-05-26,64,54,0.01,,,X
2001-05-27,39,19,0.02,,,X
2001-05-28,98,77,0.08,,,X
2001-05-29,96,88,,,,X
2001-05-30,107,84,0.03,,1,M
2001-05-31,43,34,,,4,E
2001-06-01,42,34,0.19,,,
2001-06-02,63,38,,,,E
2001-06-03,101,87,0.0,,,M
2001-06-04,71,42,0.04,,,X
2001-06-05,32,14,0.04,,,M
2001-06-06,65,46,0.15,0.04,,E
2001-06-07,51,30,0.05,,,E
2001-06-08,80,58,0.07,,,E
2001-06-09,40,13,0.11,0.01,,M
2001-06-10,33,23,0.04,,,M
2001-06-11,71,62,,,,E
2001-06-12,65,60,0.0,,,E
2001-06-13,53,40,0.34,,,E
2001-06-14,53,37,0.75,,,M
2001-06-15,54,32,0.02,,,E
2001-06-16,92,79,0.11,,,X
2001-06-17,103,85,0.03,,,E
2001-06-18,70,43,0.34,,,X
2001-06-19,56,41,0.06,,,E
2001-06-20,47,41,0.13,,,
2001-06-21,39,28,0.03,,,M
2001-06-22,97,74,0.22,,,X
2001-06-23,84,62,0.06,,,E
2001-06-24,37,31,0.0,0.0,,M
2001-06-25,94,79,0.03,,,M
2001-06-26,69,52,0.08,,,M
2001-06-27,94,76,0.04,,,E
2001-06-28,54,47,0.05,,,M
2001-06-29,56,34,0.13,,,E
2001-06-30,84,63,0.01,,1,M
2001-07-01,79,51,0.09,,,E
2001-07-02,106,82,0.0,,,
2001-07-03,34,28,0.28,,1,M
2001-07-04,36,31,0.07,0.07,,E
2001-07-05,49,26,0.18,,,X
2001-07-06,56,49,0.07,,,E
2001-07-07,45,36,0.03,,4,E
2001-07-08,102,92,,,4,E
2001-07-09,36,26,0.06,,,M
2001-07-10,81,53,0.11,,,M
2001-07-11,54,34,0.01,,,M
2001-07-12,77,69,,,,E
2001-07-13,75,56,0.08,,,M
2001-07-14,104,96,0.02,,,M
2001-07-15,52,39,0.32,,,
2001-07-16,43,22,0.08,,,X
2001-07-17,80,54,0.26,,,X
2001-07-18,65,58,0.02,,,M
2001-07-19,35,15,0.03,,,X
2001-07-20,81,56,0.05,,,E
2001-07-21,73,44,0.01,,,E
2001-07-22,38,17,0.33,,,M
2001-07-23,31,16,0.01,0.08,,M
2001-07-24,37,12,0.06,,,E
2001-07-25,55,40,0.07,,,M
2001-07-26,69,57,0.01,,,E
2001-07-27,57,47,0.1,,,E
2001-07-28,40,35,0.02,,,E
2001-07-29,34,9,0.13,,,X
2001-07-30,65,58,0.03,,,X
2001-07-31,92,77,0.03,,,E
2001-08-01,47,29,0.17,0.08,,X
2001-08-02,42,24,0.02,,,X
2001-08-03,47,39,0.42,,,E
2001-08-04,78,60,0.08,,,E
2001-08-05,40,28,0.2,,,M
2001-08-06,34,29,0.08,,,X
2001-08-07,92,81,0.06,,,E
2001-08-08,48,34,0.0,,,X
2001-08-09,58,49,0.17,,,
2001-08-10,38,14,0.06,,,E
2001-08-11,31,17,0.28,,,E
2001-08-12,40,24,,,,E
2001-08-13,73,62,0.16,,,M
2001-08-14,98,73,0.08,,,M
2001-08-15,68,46,0.21,,,M
2001-08-16,82,64,0.05,,,
2001-08-17,57,28,0.16,,,E
2001-08-18,89,77,0.1,,0,X
2001-08-19,66,58,0.0,0.03,,X
2001-08-20,45,38,0.13,,,E
2001-08-21,68,39,0.11,,,E
2001-08-22,105,79,0.08,,,E
2001-08-23,92,85,0.02,,,M
2001-08-24,103,96,0.01,,,M
2001-08-25,44,19,0.02,,,X
2001-08-26,51,40,0.0,,,
2001-08-27,30,8,0.03,,,
2001-08-28,45,36,0.07,,,X
2001-08-29,45,23,0.02,,,X
2001-08-30,39,12,0.07,,,X
2001-08-31,68,62,0.01,,,M
2001-09-01,72,56,0.32,,4,M
2001-09-02,31,21,0.09,,,M
2001-09-03,92,68,,,,M
2001-09-04,55,38,0.01,,,M
2001-09-05,103,91,0.01,,,M
2001-09-06,106,98,0.01,,,M
2001-09-07,54,47,0.04,,,X
2001-09-08,89,64,0.13,,,X
2001-09-09,40,35,0.05,,,E
2001-09-10,71,43,0.14,,1,X
2001-09-11,39,19,0.15,,,X
2001-09-12,77,65,0.0,,,X
2001-09-13,38,18,0.09,,,M
2001-09-14,102,90,0.05,,,E
2001-09-15,108,94,0.3,,,
2001-09-16,60,47,,,,X
2001-09-17,71,47,0.0,,,M
2001-09-18,51,26,0.24,,,E
2001-09-19,106,81,0.01,,4,E
2001-09-20,47,18,0.07,0.05,,X
2001-09-21,61,49,0.29,,,E
2001-09-22,41,35,0.02,,,X
2001-09-23,33,25,0.01,,,
2001-09-24,76,66,0.05,,0,
2001-09-25,33,11,0.03,0.04,,M
2001-09-26,79,68,0.07,,,X
2001-09-27,103,90,0.0,,,E
2001-09-28,41,35,0.12,,,X
2001-09-29,74,54,0.1,,,X
2001-09-30,37,27,0.01,,,
2001-10-01,33,14,,,,E
2001-10-02,81,70,0.0,,,X
2001-10-03,31,12,0.06,,,M
2001-10-04,81,58,,,,E
2001-10-05,74,46,0.31,,,X
2001-10-06,91,62,0.01,,,E
2001-10-07,46,30,0.01,,,X
2001-10-08,85,66,0.06,0.04,,E
2001-10-09,74,52,0.0,,,
2001-10-10,94,83,0.04,,,M
2001-10-11,75,48,0.0,0.04,,M
2001-10-12,59,42,0.05,,,X
2001-10-13,89,69,,,,X
2001-10-14,64,35,0.15,,,E
2001-10-15,68,57,0.1,,,X
2001-10-16,55,39,0.01,,,X
2001-10-17,94,78,0.08,,,E
2001-10-18,84,57,0.03,,,M
2001-10-19,105,89,,0.0,,M
2001-10-20,65,51,0.08,,,M
2001-10-21,102,78,0.02,,,X
2001-10-22,61,34,0.02,,,M
2001-10-23,47,35,0.16,,,
2001-10-24,40,23,0.09,,,E
2001-10-25,45,40,0.14,0.0,,E
2001-10-26,71,42,0.08,,,X
2001-10-27,93,79,0.05,,0,X
2001-10-28,83,73,0.13,,,X
2001-10-29,61,52,0.01,,,X
2001-10-30,83,63,0.11,,,M
2001-10-31,34,8,0.01,,,E
2001-11-01,58,52,0.02,,,X
2001-11-02,77,60,0.15,,,
2001-11-03,70,51,0.08,,,M
2001-11-04,83,58,0.0,,,E
2001-11-05,42,22,0.25,,,X
2001-11-06,96,69,0.04,,,M
2001-11-07,75,51,0.03,0.04,,
2001-11-08,82,73,0.0,,,X
2001-11-09,57,37,0.39,,,E
2001-11-10,55,34,0.36,,3,M
2001-11-11,100,92,0.05,0.01,,M
2001-11-12,32,12,0.05,,,E
2001-11-13,93,81,0.09,,,M
2001-11-14,104,90,0.39,,,
2001-11-15,89,68,0.01,0.0,,X
2001-11-16,99,71,0.07,,,X
2001-11-17,31,14,,,,X
2001-11-18,105,79,0.06,,2,E
2001-11-19,102,86,0.47,,,E
2001-11-20,31,17,0.01,,,E
2001-11-21,52,25,0.04,,,E
2001-11-22,32,13,0.06,,,M
2001-11-23,58,30,0.03,,,M
2001-11-24,95,86,0.35,,,E
2001-11-25,82,56,0.04,0.0,,E
2001-11-26,58,52,,,,X
2001-11-27,45,37,0.14,,,E
2001-11-28,107,81,0.0,,,E
2001-11-29,72,50,0.09,,,E
