DATE,TMAX,TMIN,PRCP,SNOW,SNWD,QC_FLAG
2001-01-01,40,21,0.0,,,E
2001-01-02,107,92,,,,E
2001-01-03,92,81,0.05,,,E
2001-01-04,39,29,0.01,,,X
2001-01-05,90,62,0.07,,2,M
2001-01-06,91,78,0.18,,,M
2001-01-07,53,39,0.03,,,E
2001-01-08,85,69,0.16,,,X
2001-01-09,43,14,0.28,,,X
2001-01-10,70,46,0.0,,,E
2001-01-11,106,95,,,,E
2001-01-12,66,54,0.07,,,M
2001-01-13,68,51,0.08,,,M
2001-01-14,83,72,0.1,,,E
2001-01-15,98,75,0.29,,,E
2001-01-16,37,32,0.06,,,M
2001-01-17,62,43,0.03,,,E
2001-01-18,35,30,,,,M
2001-01-19,49,41,0.22,,,X
2001-01-20,97,69,0.27,,1,M
2001-01-21,82,67,0.0,,,X
2001-01-22,89,63,0.1,0.1,,E
2001-01-23,50,28,0.02,,,E
2001-01-24,87,70,0.02,,,X
2001-01-25,55,44,0.25,,,M
2001-01-26,72,44,0.02,,,E
2001-01-27,75,49,0.05,,,M
2001-01-28,98,81,0.11,,,E
2001-01-29,105,88,0.06,,,X
2001-01-30,57,48,0.02,,1,M
2001-01-31,51,26,0.19,,,M
2001-02-01,56,39,0.2,,,M
2001-02-02,30,6,0.08,,,M
2001-02-03,62,34,0.13,,,M
2001-02-04,31,17,0.28,,3,E
2001-02-05,52,23,0.01,,,M
2001-02-06,105,79,0.31,,,X
2001-02-07,79,65,0.03,,,M
2001-02-08,67,54,0.09,,,
2001-02-09,60,50,0.05,0.0,,E
2001-02-10,109,86,0.14,,,
2001-02-11,92,86,0.02,,,E
2001-02-12,85,76,0.06,,,X
2001-02-13,98,84,0.16,,,M
2001-02-14,60,52,0.09,,,X
2001-02-15,46,39,0.06,,,M
2001-02-16,61,54,,,,
2001-02-17,47,39,0.0,,,E
2001-02-18,60,36,0.02,,,M
2001-02-19,108,79,0.01,,,E
2001-02-20,96,67,0.02,,,M
2001-02-21,53,46,,,,M
2001-02-22,73,65,0.02,,,E
2001-02-23,49,22,0.08,,,M
2001-02-24,102,81,0.08,,,X
2001-02-25,64,58,0.24,,,E
2001-02-26,63,45,0.1,,,M
2001-02-27,56,43,0.04,,,M
2001-02-28,41,29,0.07,,,X
2001-03-01,102,89,0.04,,,X
2001-03-02,89,60,0.09,,,E
2001-03-03,63,44,0.0,,,
2001-03-04,79,72,0.06,,,E
2001-03-05,40,31,0.01,,,X
2001-03-06,64,45,0.18,,,E
2001-03-07,66,53,0.08,,,M
2001-03-08,100,80,0.09,,,E
2001-03-09,46,19,0.22,,0,X
2001-03-10,43,21,0.08,,,E
2001-03-11,70,49,0.01,,,X
2001-03-12,78,67,0.05,,,X
2001-03-13,95,77,0.05,,,X
2001-03-14,59,30,0.08,,,E
2001-03-15,89,66,0.03,,,E
2001-03-16,100,91,0.11,,,E
2001-03-17,63,50,0.1,,,M
2001-03-18,103,86,,,,E
2001-03-19,56,29,0.06,,,E
2001-03-20,49,24,0.06,,3,X
2001-03-21,43,34,0.08,,,E
2001-03-22,82,57,0.02,,,E
2001-03-23,35,8,,,,X
2001-03-24,70,65,0.06,,,X
2001-03-25,53,41,0.02,,,X
2001-03-26,62,49,0.21,,,E
2001-03-27,95,69,0.12,,,X
2001-03-28,73,53,0.05,,,E
2001-03-29,89,83,0.12,,,M
2001-03-30,70,55,0.24,,,M
2001-03-31,41,30,0.04,,,M
2001-04-01,86,60,0.21,,,E
2001-04-02,81,70,,,,X
2001-04-03,36,20,0.1,,,E
2001-04-04,90,64,0.46,,,E
2001-04-05,33,18,0.18,,,E
2001-04-06,71,54,0.05,,,X
2001-04-07,39,24,0.1,,,M
2001-04-08,45,18,0.06,,,X
2001-04-09,57,40,0.08,,,X
2001-04-10,35,29,0.06,,,M
2001-04-11,80,66,0.06,,,E
2001-04-12,98,81,0.1,,,M
2001-04-13,87,78,0.09,,,E
2001-04-14,93,85,0.1,,,X
2001-04-15,49,30,0.09,,,M
2001-04-16,41,30,0.1,,,X
2001-04-17,44,15,0.03,,,X
2001-04-18,38,10,,,,X
2001-04-19,36,31,0.26,,,E
2001-04-20,45,28,0.04,,,E
2001-04-21,62,33,0.02,,,E
2001-04-22,47,28,0.03,,,E
2001-04-23,82,58,0.02,,,M
2001-04-24,41,21,0.09,,,E
2001-04-25,34,11,0.13,,,E
2001-04-26,32,19,0.01,0.16,,X
2001-04-27,35,13,0.06,,,M
